City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,idri,27.5,13.2667,77.67,42,99,16.98,LY,1696232551
309,kourou,5.1552,-52.6478,77.05,85,87,8.66,GF,1696232551
310,conception bay south,47.4999,-52.9981,53.74,95,0,4.23,CA,1696232551
311,pirallahi,40.4723,50.333,78.94,51,98,10.54,AZ,1696232551
312,constitucion,-35.3333,-72.4167,49.37,74,100,4.18,CL,1696232552
313,broome,42.2506,-75.833,60.21,96,52,2.3,US,1696232552
314,peace river,56.2501,-117.286,54.66,72,100,6.91,CA,1696232552
315,palangkaraya,-2.2,113.8333,101.43,20,71,2.82,ID,1696232552
316,weno,7.4515,151.8468,85.95,79,100,4.61,FM,1696232552
317,hohhot,40.8106,111.6522,66.49,42,20,13.42,CN,1696232552
318,thurso,58.5927,-3.5259,53.85,82,0,13.94,GB,1696232428
319,yemva,62.59,50.8594,54.05,86,93,10.0,RU,1696232552
320,zyrya,40.3661,50.2917,78.89,54,93,9.62,AZ,1696232553
321,brak,27.5496,14.2714,79.39,40,2,15.86,LY,1696232553
322,tangalle,6.024,80.7911,77.16,71,70,12.66,LK,1696232553
323,lata,40.1629,-8.3327,70.84,48,0,0.89,PT,1696232553
324,mossel bay,-34.1831,22.146,73.33,53,0,6.67,ZA,1696232416
325,kikvidze,50.7416,43.0518,66.58,34,100,9.37,RU,1696232553
326,flat river,37.8501,-90.5168,59.7,94,0,0.0,US,1696232553
327,macas,-2.3167,-78.1167,65.64,90,100,3.36,EC,1696232553
328,sacele,45.6174,25.6943,58.82,61,26,11.99,RO,1696232553
329,whistler,50.1164,-122.9695,46.56,87,100,4.0,CA,1696232554
330,ust-nera,64.5667,143.2,35.22,56,21,5.99,RU,1696232554
331,rio grande,-32.035,-52.0986,50.95,82,30,7.67,BR,1696232335
332,papao,-17.75,-149.55,80.28,82,2,19.1,PF,1696232554
333,howard springs,-12.497,131.047,87.71,40,50,9.46,AU,1696232554
334,ancud,-41.8697,-73.8203,43.38,85,99,2.73,CL,1696232554
335,hachenburg,50.65,7.8333,62.83,81,0,5.75,DE,1696232554
336,galliano,29.4422,-90.2992,73.99,75,0,9.66,US,1696232554
337,vung tau,10.346,107.0843,77.85,91,100,10.92,VN,1696232555
338,pisco,-13.7,-76.2167,65.01,88,90,9.22,PE,1696232555
339,farah,32.5,62.5,79.7,9,2,5.21,AF,1696232555
340,illapel,-31.6308,-71.1653,51.76,88,100,3.51,CL,1696232555
341,meadow lake,34.8014,-106.5436,71.8,48,28,7.38,US,1696232555
342,amahai,-3.3333,128.9167,80.4,82,94,2.08,ID,1696232555
343,gaiman,-43.2897,-65.4929,52.9,44,98,7.27,AR,1696232555
344,tyukhtet,56.5389,89.3011,44.2,48,100,10.2,RU,1696232555
345,nueve de julio,-35.4444,-60.8831,45.97,90,19,1.99,AR,1696232556
346,vorgashor,67.5833,63.95,49.57,85,100,19.69,RU,1696232556
347,villa nueva,14.5269,-90.5875,68.02,94,100,4.61,GT,1696232556
348,shahrak,34.1074,64.3052,62.28,11,0,9.91,AF,1696232556
349,coquimbo,-29.9533,-71.3436,55.13,87,100,8.05,CL,1696232556
350,allapalli,19.4167,80.0667,87.66,66,97,5.28,IN,1696232556
351,asipovichy,53.2933,28.6422,57.09,66,0,6.78,BY,1696232556
352,viedma,-40.8135,-62.9967,60.3,42,100,15.84,AR,1696232424
353,bengkulu,-3.8004,102.2655,81.37,67,78,13.06,ID,1696232557
354,billdal,57.5667,11.9333,61.02,82,100,10.0,SE,1696232557
355,patacamaya,-17.2333,-67.9167,47.86,75,93,4.03,BO,1696232557
356,port saint john's,-31.6229,29.5448,70.03,54,7,17.92,ZA,1696232557
357,sanawad,22.1833,76.0667,90.91,48,1,7.36,IN,1696232557
358,corrientes,-27.4806,-58.8341,60.69,75,0,6.91,AR,1696232351
359,sydney,-33.8679,151.2073,70.48,70,0,16.11,AU,1696232394
360,caleta de carquin,-11.0925,-77.6267,64.69,90,65,10.31,PE,1696232557
361,itaituba,-4.2761,-55.9836,76.82,62,97,2.15,BR,1696232557
362,cabo san lucas,22.8909,-109.9124,81.75,79,3,1.01,MX,1696232395
363,terrace,54.5163,-128.6035,49.91,93,100,3.44,CA,1696232558
364,ola,59.5833,151.2833,49.41,74,13,2.91,RU,1696232558
365,shalya,57.2471,58.7298,59.36,56,93,11.77,RU,1696232558
366,itacoatiara,-3.1431,-58.4442,76.3,50,100,3.15,BR,1696232558
